time,pwv_mean,pwv_max,zwd_mean,station
2019-01-01,17.15,22.54,111.05,wuh2
2019-01-02,,,,wuh2
2019-01-03,19.30,25.45,124.96,wuh2
2019-01-04,16.98,21.64,109.97,wuh2
2019-01-05,12.83,19.21,83.10,wuh2
2019-01-06,14.47,17.81,93.68,wuh2
2019-01-07,14.31,17.80,92.69,wuh2
2019-01-08,24.86,28.45,160.98,wuh2
2019-01-09,22.04,27.95,142.74,wuh2
2019-01-10,19.46,23.22,126.03,wuh2
2019-01-11,12.49,22.30,80.89,wuh2
2019-01-12,,,,wuh2
2019-01-13,15.43,18.33,99.93,wuh2
2019-01-14,19.09,22.97,123.65,wuh2
2019-01-15,14.26,17.34,92.35,wuh2
2019-01-16,9.23,14.21,59.78,wuh2
2019-01-17,7.78,10.82,50.37,wuh2
2019-01-18,12.98,22.70,84.04,wuh2
2019-01-19,14.68,19.08,95.04,wuh2
2019-01-20,11.20,13.81,72.53,wuh2
2019-01-21,7.43,11.30,48.11,wuh2
2019-01-22,1.97,5.38,12.73,wuh2
2019-01-23,3.17,4.92,20.51,wuh2
2019-01-24,10.04,17.08,64.99,wuh2
2019-01-25,14.58,16.65,94.44,wuh2
2019-01-26,15.31,17.33,99.17,wuh2
2019-01-27,18.02,22.46,116.68,wuh2
2019-01-28,19.88,22.99,128.71,wuh2
2019-01-29,23.67,26.87,153.25,wuh2
2019-01-30,21.54,27.09,139.47,wuh2
2019-01-31,11.48,14.32,74.33,wuh2
2019-02-01,13.88,17.18,89.54,wuh2
2019-02-02,18.61,22.17,120.04,wuh2
2019-02-03,12.48,20.39,80.49,wuh2
2019-02-04,12.52,17.20,80.73,wuh2
2019-02-05,8.46,12.03,54.53,wuh2
2019-02-06,17.51,21.75,112.91,wuh2
2019-02-07,21.77,26.27,140.38,wuh2
2019-02-08,21.15,24.63,136.38,wuh2
2019-02-09,20.64,24.42,133.12,wuh2
2019-02-10,18.84,22.07,121.48,wuh2
2019-02-11,19.12,25.27,123.31,wuh2
2019-02-12,19.87,27.78,128.18,wuh2
2019-02-13,20.07,27.19,129.44,wuh2
2019-02-14,21.89,25.77,141.18,wuh2
2019-02-15,23.15,26.10,149.29,wuh2
2019-02-16,18.67,26.05,120.37,wuh2
2019-02-17,22.17,24.41,142.97,wuh2
2019-02-18,18.25,27.00,117.68,wuh2
2019-02-19,,,,wuh2
2019-02-20,,,,wuh2
2019-02-21,20.31,27.31,130.95,wuh2
2019-02-22,15.29,19.85,98.63,wuh2
2019-02-23,17.12,21.60,110.43,wuh2
2019-02-24,17.68,19.89,114.00,wuh2
2019-02-25,18.76,22.56,121.00,wuh2
2019-02-26,22.63,26.02,145.95,wuh2
2019-02-27,19.13,26.85,123.40,wuh2
2019-02-28,20.74,27.61,133.78,wuh2
2019-03-01,24.72,29.50,156.95,wuh2
2019-03-02,17.46,25.59,110.87,wuh2
2019-03-03,9.13,14.00,57.99,wuh2
2019-03-04,16.79,27.89,106.59,wuh2
2019-03-05,21.79,28.80,138.33,wuh2
2019-03-06,12.65,16.97,80.33,wuh2
2019-03-07,13.39,16.85,85.00,wuh2
2019-03-08,17.96,20.18,114.03,wuh2
2019-03-09,14.06,18.37,89.29,wuh2
2019-03-10,9.43,11.83,59.89,wuh2
2019-03-11,9.53,11.29,60.52,wuh2
2019-03-12,7.51,14.45,47.68,wuh2
2019-03-13,22.51,27.51,142.93,wuh2
2019-03-14,14.40,20.51,91.40,wuh2
2019-03-15,11.05,13.66,70.14,wuh2
2019-03-16,13.87,16.61,88.09,wuh2
2019-03-17,23.03,27.44,146.21,wuh2
2019-03-18,14.18,20.54,90.01,wuh2
2019-03-19,27.61,34.53,175.27,wuh2
2019-03-20,23.17,33.62,147.12,wuh2
2019-03-21,25.64,30.04,162.82,wuh2
2019-03-22,23.72,29.14,150.63,wuh2
2019-03-23,18.00,20.29,114.28,wuh2
2019-03-24,20.60,25.90,130.81,wuh2
2019-03-25,13.11,17.24,83.23,wuh2
2019-03-26,23.99,36.15,152.32,wuh2
2019-03-27,29.10,39.24,184.75,wuh2
2019-03-28,21.29,34.02,135.19,wuh2
2019-03-29,17.94,21.21,113.93,wuh2
2019-03-30,24.32,31.91,154.43,wuh2
2019-03-31,13.18,22.73,83.70,wuh2
2019-04-01,16.94,32.51,105.74,wuh2
2019-04-02,,,,wuh2
2019-04-03,,,,wuh2
2019-04-04,,,,wuh2
2019-04-05,15.33,17.68,95.70,wuh2
2019-04-06,14.12,16.71,88.18,wuh2
2019-04-07,15.50,21.06,96.80,wuh2
2019-04-08,31.27,45.66,195.26,wuh2
2019-04-09,33.86,44.88,211.40,wuh2
2019-04-10,28.97,33.73,180.87,wuh2
2019-04-11,18.68,24.46,116.62,wuh2
2019-04-12,21.18,36.02,132.23,wuh2
2019-04-13,29.76,33.67,185.80,wuh2
2019-04-14,22.35,33.09,139.52,wuh2
2019-04-15,23.55,30.59,147.01,wuh2
2019-04-16,14.08,21.99,87.93,wuh2
2019-04-17,15.41,34.56,96.20,wuh2
2019-04-18,,,,wuh2
2019-04-19,35.45,40.09,221.31,wuh2
2019-04-20,42.75,50.76,266.92,wuh2
2019-04-21,42.11,47.63,262.90,wuh2
2019-04-22,40.65,46.17,253.80,wuh2
2019-04-23,34.13,37.71,213.06,wuh2
2019-04-24,34.93,38.47,218.07,wuh2
2019-04-25,31.18,36.79,194.70,wuh2
2019-04-26,33.21,36.56,207.36,wuh2
2019-04-27,38.19,47.73,238.46,wuh2
2019-04-28,44.97,50.70,280.75,wuh2
2019-04-29,36.90,43.06,230.36,wuh2
2019-04-30,24.83,32.35,155.01,wuh2
2019-05-01,20.24,26.86,124.54,wuh2
2019-05-02,24.03,27.34,147.87,wuh2
2019-05-03,25.00,32.91,153.82,wuh2
2019-05-04,34.83,39.59,214.33,wuh2
2019-05-05,38.63,44.54,237.73,wuh2
2019-05-06,31.55,38.45,194.13,wuh2
2019-05-07,30.35,33.10,186.78,wuh2
2019-05-08,24.10,29.00,148.28,wuh2
2019-05-09,26.15,31.90,160.93,wuh2
2019-05-10,23.32,26.92,143.52,wuh2
2019-05-11,26.04,31.15,160.23,wuh2
2019-05-12,39.93,47.91,245.74,wuh2
2019-05-13,41.24,43.32,253.81,wuh2
2019-05-14,51.72,57.09,318.27,wuh2
2019-05-15,46.99,60.43,289.18,wuh2
2019-05-16,48.73,52.81,299.91,wuh2
2019-05-17,36.15,48.49,222.43,wuh2
2019-05-18,49.54,60.03,304.84,wuh2
2019-05-19,42.29,56.59,260.25,wuh2
2019-05-20,24.34,36.34,149.81,wuh2
2019-05-21,22.68,29.93,139.57,wuh2
2019-05-22,12.72,16.41,78.27,wuh2
2019-05-23,14.97,30.86,92.11,wuh2
2019-05-24,41.76,57.23,256.98,wuh2
2019-05-25,55.86,61.12,343.78,wuh2
2019-05-26,41.54,54.29,255.63,wuh2
2019-05-27,30.83,36.13,189.70,wuh2
2019-05-28,38.02,44.39,233.98,wuh2
2019-05-29,46.94,55.67,288.89,wuh2
