RMSE,MAE,R2,Bias,Rel_RMSE_pct,N,station_id
0.061862,0.042849,0.999946,0.006269,0.266715,4165,AEM00041217
0.037910,0.028722,0.999980,-0.007065,0.246232,1524,ARM00087418
0.046396,0.034155,0.999991,-0.007531,0.146163,2182,ASM00094203
0.044231,0.025843,0.999965,0.009268,0.255239,4072,ASM00094672
0.012104,0.009492,0.999954,0.004819,0.389257,331,AYM00089022
0.055428,0.038439,0.999961,-0.001786,0.139695,1145,BBM00078954
0.058540,0.040602,0.999975,0.002092,0.161220,345,BFM00078073
0.057819,0.044314,0.999930,-0.014201,0.112028,2542,BRM00082705
0.061452,0.047874,0.999945,0.028468,0.124329,1942,BRM00082917
0.050770,0.037348,0.999984,-0.013963,0.179995,4154,BRM00083937
0.021756,0.015697,0.999991,-0.001453,0.210112,4278,CAM00071043
0.031545,0.021062,0.999978,0.005560,0.285491,4319,CAM00071945
0.055970,0.036819,0.999960,-0.017789,0.530657,3890,CHM00052681
0.061045,0.040542,0.999966,0.023535,0.540102,4274,CHM00054218
0.055549,0.039647,0.999988,-0.015363,0.252424,4155,CHM00057083
0.058208,0.042216,0.999991,-0.005211,0.202520,4272,CHM00058362
0.206649,0.180498,0.996047,0.128652,1.007438,1712,COM00080222
0.051746,0.039302,0.999967,-0.018506,0.133833,2154,FPM00091925
0.019271,0.012109,0.999744,0.003735,1.245964,2961,GLM00004417
0.056779,0.043395,0.999946,-0.020444,0.111608,4006,IDM00097014
0.068294,0.047412,0.999986,0.022499,0.194067,2762,INM00042867
0.072636,0.053589,0.999979,-0.018404,0.144586,964,INM00043150
0.098945,0.064453,0.999948,0.046026,0.218813,2872,INM00043279
0.040802,0.033445,0.999971,-0.023837,0.408930,1405,MGM00044212
0.068719,0.037163,0.999855,0.007399,0.830229,2423,RSM00020674
0.047186,0.028936,0.999961,0.011907,0.357316,4151,RSM00022820
0.051687,0.031287,0.999961,0.004891,0.463811,4087,RSM00029698
0.045892,0.030656,0.999965,0.009203,0.318116,4050,RSM00034009
0.057500,0.042031,0.999949,-0.020482,0.285817,2426,SAM00040417
0.063641,0.042210,0.999935,-0.006908,0.307449,3901,SFM00068842
0.033144,0.025544,0.999973,-0.005749,0.214458,4180,SPM00008221
0.050014,0.036833,0.999989,-0.007194,0.164749,4287,USM00072214
0.113937,0.035268,0.999932,0.009682,0.455499,4452,USM00072340
0.033639,0.026097,0.999963,-0.013668,0.294119,4294,USM00072572
0.034966,0.023021,0.999990,0.002691,0.217224,4261,USM00072649
0.043080,0.027619,0.999989,0.001414,0.213980,4356,USM00074560
