RMSE,MAE,R2,Bias,Rel_RMSE_pct,N,station_id
0.053920,0.039049,0.999959,0.003773,0.232471,4165,AEM00041217
0.041862,0.031054,0.999975,-0.014933,0.271901,1524,ARM00087418
0.045381,0.032810,0.999992,0.004946,0.142966,2182,ASM00094203
0.035587,0.024239,0.999977,0.004650,0.205359,4072,ASM00094672
0.010159,0.007974,0.999967,-0.004864,0.326700,331,AYM00089022
0.056126,0.037887,0.999960,0.016137,0.141456,1145,BBM00078954
0.059070,0.040571,0.999974,0.011220,0.162682,345,BFM00078073
0.052463,0.040602,0.999943,-0.008931,0.101650,2542,BRM00082705
0.057716,0.044609,0.999952,0.025683,0.116770,1942,BRM00082917
0.044239,0.033454,0.999987,-0.007012,0.156842,4154,BRM00083937
0.021715,0.016145,0.999991,-0.009028,0.209715,4278,CAM00071043
0.029793,0.020261,0.999980,0.002573,0.269640,4319,CAM00071945
0.060341,0.039299,0.999953,-0.023620,0.572097,3890,CHM00052681
0.056071,0.038210,0.999971,0.026934,0.496101,4274,CHM00054218
0.051576,0.037365,0.999990,-0.012102,0.234369,4155,CHM00057083
0.055737,0.040287,0.999991,-0.001610,0.193922,4272,CHM00058362
0.302056,0.281303,0.991555,0.277025,1.472563,1712,COM00080222
0.050831,0.039795,0.999968,-0.020063,0.131467,2154,FPM00091925
0.019934,0.011653,0.999726,-0.004042,1.288826,2961,GLM00004417
0.049955,0.038609,0.999958,0.004813,0.098195,4006,IDM00097014
0.071582,0.049217,0.999985,0.032964,0.203410,2762,INM00042867
0.079146,0.056172,0.999975,0.029696,0.157544,964,INM00043150
0.102023,0.068500,0.999945,0.056857,0.225618,2872,INM00043279
0.034460,0.026921,0.999979,-0.012736,0.345368,1405,MGM00044212
0.068795,0.043778,0.999855,-0.011275,0.831145,2423,RSM00020674
0.046370,0.027863,0.999962,0.007064,0.351140,4151,RSM00022820
0.051038,0.030849,0.999962,0.006862,0.457987,4087,RSM00029698
0.052008,0.033826,0.999955,0.021848,0.360515,4050,RSM00034009
0.054759,0.038373,0.999954,-0.005364,0.272193,2426,SAM00040417
0.054192,0.035804,0.999953,0.019174,0.261802,3901,SFM00068842
0.032308,0.025171,0.999974,-0.009101,0.209047,4180,SPM00008221
0.048851,0.035624,0.999989,0.003229,0.160919,4287,USM00072214
0.113369,0.034572,0.999932,0.011046,0.453227,4452,USM00072340
0.030576,0.023575,0.999970,-0.004931,0.267335,4294,USM00072572
0.034442,0.022816,0.999990,-0.001852,0.213968,4261,USM00072649
0.041616,0.027069,0.999990,0.003801,0.206711,4356,USM00074560
