RMSE,MAE,R2,Bias,Rel_RMSE_pct,N,group,value,pwv_mean,zwd_mean
0.046618,0.028626,0.999992,0.000177,0.271608,27584,season,DJF,17.163730,106.527662
0.074473,0.047990,0.999978,0.015910,0.257893,28717,season,JJA,28.877332,176.798285
0.071776,0.034831,0.999978,0.006779,0.361427,28178,season,MAM,19.859087,122.773024
0.064021,0.036332,0.999984,0.007754,0.291572,28815,season,SON,21.957238,135.505797
0.053281,0.031102,0.999983,0.002421,0.303299,65779,lat_band,Mid(30-60),17.567132,109.361144
0.040866,0.023186,0.999971,-0.003549,0.463230,14144,lat_band,Polar(60-90),8.821955,57.349406
0.056050,0.039438,0.999986,0.006348,0.194440,16998,lat_band,SubTrop(15-30),28.826552,174.596517
0.115581,0.070356,0.999920,0.040266,0.261137,16373,lat_band,Trop(0-15),44.260794,269.166610
0.083706,0.047875,0.999684,0.021669,0.363136,34641,zwd_bin,100-200,23.050863,142.154222
0.038969,0.025535,0.999738,-0.001672,0.331420,27722,zwd_bin,50-100,11.758200,74.408800
0.027023,0.019055,0.999825,-0.007903,0.625731,24061,zwd_bin,ZWD<50,4.318642,28.608440
0.081870,0.051035,0.999921,0.013477,0.173677,26870,zwd_bin,ZWD>200,47.139011,286.721263
0.069055,0.037812,0.999982,0.009297,0.342913,90492,hemi,North,20.137680,124.532904
0.047281,0.033964,0.999991,0.001534,0.160263,22802,hemi,South,29.501924,180.266713
