lat,lon,pi,zwd,n_stations
-85.000000,-180.000000,0.145450,9.520569,5.000000
-85.000000,-175.000000,0.145494,9.520569,5.000000
-85.000000,-170.000000,0.145534,9.520569,5.000000
-85.000000,-165.000000,0.145570,9.520569,5.000000
-85.000000,-160.000000,0.145603,9.520569,5.000000
-85.000000,-155.000000,0.145632,9.520569,5.000000
-85.000000,-150.000000,0.145657,9.520569,5.000000
-85.000000,-145.000000,0.145679,9.520569,5.000000
-85.000000,-140.000000,0.145518,9.101787,5.000000
-85.000000,-135.000000,0.145536,9.101787,5.000000
-85.000000,-130.000000,0.145444,9.101787,5.000000
-85.000000,-125.000000,0.145456,9.101787,5.000000
-85.000000,-120.000000,0.145465,9.101787,5.000000
-85.000000,-115.000000,0.145472,9.101787,5.000000
-85.000000,-110.000000,0.145476,9.101787,5.000000
-85.000000,-105.000000,0.145477,9.101787,5.000000
-85.000000,-100.000000,0.145476,9.101787,5.000000
-85.000000,-95.000000,0.145429,9.101787,5.000000
-85.000000,-90.000000,0.145148,9.101787,5.000000
-85.000000,-85.000000,0.145138,9.101787,5.000000
-85.000000,-80.000000,0.145125,9.101787,5.000000
-85.000000,-75.000000,0.145109,9.101787,5.000000
-85.000000,-70.000000,0.145091,9.101787,5.000000
-85.000000,-65.000000,0.145071,9.101787,5.000000
-85.000000,-60.000000,0.145049,9.101787,5.000000
-85.000000,-55.000000,0.145025,9.101787,5.000000
-85.000000,-50.000000,0.144247,9.101787,5.000000
-85.000000,-45.000000,0.144216,9.101787,5.000000
-85.000000,-40.000000,0.144185,9.101787,5.000000
-85.000000,-35.000000,0.144152,9.101787,5.000000
-85.000000,-30.000000,0.144118,9.101787,5.000000
-85.000000,-25.000000,0.144083,9.101787,5.000000
-85.000000,-20.000000,0.144047,9.101787,5.000000
-85.000000,-15.000000,0.144010,9.101787,5.000000
-85.000000,-10.000000,0.143972,9.101787,5.000000
-85.000000,-5.000000,0.143933,9.101787,5.000000
-85.000000,0.000000,0.143892,9.101787,5.000000
-85.000000,5.000000,0.143850,9.101787,5.000000
-85.000000,10.000000,0.143807,9.101787,5.000000
-85.000000,15.000000,0.143763,9.101787,5.000000
-85.000000,20.000000,0.143718,9.101787,5.000000
-85.000000,25.000000,0.143672,9.101787,5.000000
-85.000000,30.000000,0.143888,9.101787,5.000000
-85.000000,35.000000,0.144800,9.101787,5.000000
-85.000000,40.000000,0.144761,9.101787,5.000000
-85.000000,45.000000,0.144723,9.101787,5.000000
-85.000000,50.000000,0.144802,9.138782,5.000000
-85.000000,55.000000,0.144824,9.138782,5.000000
-85.000000,60.000000,0.144847,9.138782,5.000000
-85.000000,65.000000,0.144818,9.138782,5.000000
-85.000000,70.000000,0.144792,9.138782,5.000000
-85.000000,75.000000,0.144770,9.138782,5.000000
-85.000000,80.000000,0.144281,9.138782,5.000000
-85.000000,85.000000,0.144267,9.138782,5.000000
-85.000000,90.000000,0.144259,9.138782,5.000000
-85.000000,95.000000,0.144256,9.138782,5.000000
-85.000000,100.000000,0.144260,9.138782,5.000000
-85.000000,105.000000,0.144271,9.138782,5.000000
-85.000000,110.000000,0.144289,9.138782,5.000000
-85.000000,115.000000,0.144258,9.138782,5.000000
-85.000000,120.000000,0.145249,10.071835,5.000000
-85.000000,125.000000,0.145284,10.071835,5.000000
-85.000000,130.000000,0.145269,10.071835,5.000000
-85.000000,135.000000,0.145314,10.071835,5.000000
-85.000000,140.000000,0.144515,9.520569,5.000000
-85.000000,145.000000,0.144572,9.520569,5.000000
-85.000000,150.000000,0.144630,9.520569,5.000000
-85.000000,155.000000,0.144690,9.520569,5.000000
-85.000000,160.000000,0.144749,9.520569,5.000000
-85.000000,165.000000,0.144808,9.520569,5.000000
-85.000000,170.000000,0.144864,9.520569,5.000000
-85.000000,175.000000,0.145402,9.520569,5.000000
-80.000000,-180.000000,0.146457,10.355412,5.000000
-80.000000,-175.000000,0.146495,10.355412,5.000000
-80.000000,-170.000000,0.144986,9.520569,5.000000
-80.000000,-165.000000,0.145025,9.520569,5.000000
-80.000000,-160.000000,0.145061,9.520569,5.000000
-80.000000,-155.000000,0.145092,9.520569,5.000000
-80.000000,-150.000000,0.145589,9.520569,5.000000
-80.000000,-145.000000,0.145611,9.520569,5.000000
-80.000000,-140.000000,0.145630,9.520569,5.000000
-80.000000,-135.000000,0.145646,9.520569,5.000000
-80.000000,-130.000000,0.145567,9.520569,5.000000
-80.000000,-125.000000,0.145389,9.101787,5.000000
-80.000000,-120.000000,0.145398,9.101787,5.000000
-80.000000,-115.000000,0.145405,9.101787,5.000000
-80.000000,-110.000000,0.145409,9.101787,5.000000
