date,hour,pwv_rad,pwv_ours,pwv_gpt3,zwd
2019-01-01,0,7.096,11.789,11.768,76.341
2019-01-03,0,8.879,11.881,11.856,76.933
2019-01-04,0,23.467,20.983,20.938,135.875
2019-01-05,0,18.344,18.155,18.115,117.566
2019-01-06,0,6.477,9.170,9.148,59.379
2019-01-07,0,14.724,14.868,14.833,96.281
2019-01-08,0,12.482,15.190,15.153,98.364
2019-01-09,0,25.691,26.370,26.305,170.761
2019-01-10,0,16.124,19.310,19.261,125.039
2019-01-11,0,22.429,21.771,21.716,140.981
2019-01-13,0,9.530,12.344,12.312,79.930
2019-01-14,0,17.018,17.389,17.346,112.605
2019-01-15,0,15.490,14.974,14.937,96.968
2019-01-16,0,10.218,12.140,12.110,78.612
2019-01-17,0,7.623,8.693,8.672,56.293
2019-01-18,0,5.233,7.497,7.480,48.547
2019-01-19,0,17.809,16.863,16.825,109.197
2019-01-20,0,10.318,10.373,10.350,67.169
2019-01-21,0,9.315,9.586,9.566,62.071
2019-01-22,0,3.124,3.430,3.423,22.210
2019-01-23,0,1.699,2.631,2.626,17.038
2019-01-24,0,12.842,4.156,4.149,26.912
2019-01-25,0,19.925,16.230,16.205,105.099
2019-01-26,0,12.726,15.473,15.452,100.199
2019-01-27,0,14.392,16.377,16.357,106.053
2019-01-28,0,21.632,22.754,22.730,147.345
2019-01-29,0,19.711,22.894,22.874,148.249
2019-01-30,0,26.496,26.040,26.022,168.625
2019-01-31,0,9.927,11.657,11.652,75.487
2019-02-01,0,8.953,13.478,13.419,86.921
2019-02-02,0,21.278,19.323,19.243,124.617
2019-02-03,0,19.507,19.802,19.725,127.709
2019-02-04,0,11.289,16.711,16.650,107.771
2019-02-05,0,6.725,11.529,11.490,74.354
2019-02-06,0,6.622,10.703,10.669,69.024
2019-02-07,0,17.734,21.173,21.112,136.548
2019-02-08,0,16.804,19.515,19.465,125.859
2019-02-09,0,21.678,24.208,24.153,156.124
2019-02-10,0,16.846,21.523,21.480,138.808
2019-02-11,0,15.507,16.954,16.925,109.339
2019-02-12,0,27.454,27.309,27.271,176.122
2019-02-13,0,13.703,20.420,20.398,131.693
2019-02-14,0,13.691,17.537,17.524,113.100
2019-02-15,0,24.140,25.077,25.067,161.727
2019-02-16,0,20.690,25.186,25.185,162.433
2019-02-17,0,18.358,22.826,22.832,147.209
2019-02-18,0,24.110,25.757,25.773,166.113
2019-02-21,0,22.161,26.654,26.700,171.894
2019-02-22,0,11.096,16.677,16.712,107.552
2019-02-23,0,17.869,21.451,21.504,138.339
2019-02-24,0,12.671,18.446,18.499,118.962
2019-02-25,0,20.848,22.100,22.173,142.529
2019-02-26,0,22.624,24.820,24.911,160.067
2019-02-27,0,24.681,26.447,26.556,170.566
2019-02-28,0,14.530,18.964,19.049,122.301
2019-03-01,0,28.441,28.963,28.654,183.889
2019-03-02,0,24.785,25.040,24.783,158.980
2019-03-03,0,13.215,13.554,13.421,86.057
2019-03-04,0,5.124,9.217,9.130,58.520
2019-03-05,0,29.826,27.654,27.406,175.577
2019-03-06,0,10.598,15.654,15.520,99.388
2019-03-07,0,9.455,11.315,11.224,71.842
2019-03-08,0,18.249,18.831,18.687,119.558
2019-03-09,0,18.208,17.062,16.939,108.327
2019-03-10,0,10.227,9.984,9.917,63.390
2019-03-11,0,11.313,10.326,10.261,65.564
2019-03-12,0,9.989,7.846,7.800,49.815
2019-03-13,0,17.124,15.934,15.849,101.169
2019-03-14,0,23.877,19.822,19.724,125.851
2019-03-15,0,9.682,13.300,13.241,84.443
2019-03-16,0,13.391,14.102,14.046,89.538
2019-03-17,0,11.489,16.018,15.962,101.703
2019-03-18,0,18.579,20.314,20.252,128.977
2019-03-19,0,18.862,14.034,13.998,89.105
2019-03-20,0,39.470,33.404,33.333,212.084
2019-03-21,0,33.440,29.382,29.334,186.550
