date,hour,pwv_rad,pwv_gnss
2019-01-01,0,7.096,11.789
2019-01-01,0,7.096,20.453
2019-01-03,0,8.879,11.881
2019-01-03,0,8.879,21.351
2019-01-04,0,23.467,20.983
2019-01-04,0,23.467,15.567
2019-01-05,0,18.344,18.155
2019-01-05,0,18.344,10.457
2019-01-06,0,6.477,16.697
2019-01-06,0,6.477,9.170
2019-01-07,0,14.724,13.219
2019-01-07,0,14.724,14.868
2019-01-08,0,12.482,27.877
2019-01-08,0,12.482,15.190
2019-01-09,0,25.691,19.950
2019-01-09,0,25.691,26.370
2019-01-10,0,16.124,17.597
2019-01-10,0,16.124,19.310
2019-01-11,0,22.429,10.735
2019-01-11,0,22.429,21.771
2019-01-13,0,9.530,12.344
2019-01-13,0,9.530,16.139
2019-01-14,0,17.018,17.389
2019-01-14,0,17.018,18.689
2019-01-15,0,15.490,14.974
2019-01-15,0,15.490,13.714
2019-01-16,0,10.218,6.449
2019-01-16,0,10.218,12.140
2019-01-17,0,7.623,8.693
2019-01-17,0,7.623,6.320
2019-01-18,0,5.233,7.497
2019-01-18,0,5.233,11.594
2019-01-19,0,17.809,16.863
2019-01-19,0,17.809,12.811
2019-01-20,0,10.318,11.131
2019-01-20,0,10.318,10.373
2019-01-21,0,9.315,6.441
2019-01-21,0,9.315,9.585
2019-01-22,0,3.124,3.430
2019-01-22,0,3.124,1.356
2019-01-23,0,1.699,2.631
2019-01-23,0,1.699,2.844
2019-01-24,0,12.842,10.999
2019-01-24,0,12.842,4.156
2019-01-25,0,19.925,13.831
2019-01-25,0,19.925,16.230
2019-01-26,0,12.726,15.473
2019-01-26,0,12.726,14.871
2019-01-27,0,14.392,16.377
2019-01-27,0,14.392,15.638
2019-01-28,0,21.632,19.193
2019-01-28,0,21.632,22.754
2019-01-29,0,19.711,22.734
2019-01-29,0,19.711,22.894
2019-01-30,0,26.496,26.040
2019-01-30,0,26.496,23.054
2019-01-31,0,9.927,12.252
2019-01-31,0,9.927,11.657
2019-02-01,0,8.953,13.032
2019-02-01,0,8.953,13.478
2019-02-02,0,21.278,17.859
2019-02-02,0,21.278,19.323
2019-02-03,0,19.507,19.802
2019-02-03,0,19.507,8.271
2019-02-04,0,11.289,16.711
2019-02-04,0,11.289,12.784
2019-02-05,0,6.725,11.529
2019-02-05,0,6.725,8.880
2019-02-06,0,6.622,20.884
2019-02-06,0,6.622,10.703
2019-02-07,0,17.734,24.060
2019-02-07,0,17.734,21.173
2019-02-08,0,16.804,19.515
2019-02-08,0,16.804,20.812
2019-02-09,0,21.678,19.043
2019-02-09,0,21.678,24.208
2019-02-10,0,16.846,18.087
2019-02-10,0,16.846,21.523
2019-02-11,0,15.507,16.907
2019-02-11,0,15.507,16.954
2019-02-12,0,27.454,27.309
2019-02-12,0,27.454,17.330
2019-02-13,0,13.703,19.972
2019-02-13,0,13.703,20.420
2019-02-14,0,13.691,17.537
2019-02-14,0,13.691,22.055
2019-02-15,0,24.140,25.077
2019-02-15,0,24.140,21.491
2019-02-16,0,20.690,17.174
2019-02-16,0,20.690,25.186
2019-02-17,0,18.358,21.787
2019-02-17,0,18.358,22.826
2019-02-18,0,24.110,19.194
2019-02-18,0,24.110,25.757
2019-02-21,0,22.161,26.654
2019-02-21,0,22.161,20.423
2019-02-22,0,11.096,16.677
2019-02-22,0,11.096,12.746
2019-02-23,0,17.869,14.453
2019-02-23,0,17.869,21.451
2019-02-24,0,12.671,15.672
2019-02-24,0,12.671,18.446
2019-02-25,0,20.848,17.226
2019-02-25,0,20.848,22.100
2019-02-26,0,22.624,20.048
2019-02-26,0,22.624,24.820
2019-02-27,0,24.681,17.878
2019-02-27,0,24.681,26.448
2019-02-28,0,14.530,20.482
2019-02-28,0,14.530,18.964
2019-03-01,0,28.441,28.963
2019-03-01,0,28.441,26.166
2019-03-02,0,24.785,15.871
2019-03-02,0,24.785,25.040
2019-03-03,0,13.215,8.119
2019-03-03,0,13.215,13.554
2019-03-04,0,5.124,14.380
2019-03-04,0,5.124,9.217
2019-03-05,0,29.826,22.757
2019-03-05,0,29.826,27.654
2019-03-06,0,10.598,12.516
2019-03-06,0,10.598,15.654
2019-03-07,0,9.455,11.315
2019-03-07,0,9.455,12.589
2019-03-08,0,18.249,17.907
2019-03-08,0,18.249,18.831
2019-03-09,0,18.208,17.062
2019-03-09,0,18.208,14.494
2019-03-10,0,10.227,9.984
2019-03-10,0,10.227,7.646
2019-03-11,0,11.313,10.326
2019-03-11,0,11.313,9.644
2019-03-12,0,9.989,7.846
2019-03-12,0,9.989,5.095
2019-03-13,0,17.124,15.934
2019-03-13,0,17.124,25.839
2019-03-14,0,23.877,19.822
2019-03-14,0,23.877,14.881
